customer_id,streak_id,streak_length,max_temperature,start_internal_temp,streak_start_time,streak_end_time,temp_delta,avg_temperature
9,9,2.0,34.16277777777778,26.097222222222214,2023-07-30 18:15:00,2023-07-30 20:00:00,8.065555555555562,27.076249999999995
16,39,5.25,36.83722222222222,21.855,2023-06-22 08:00:00,2023-06-22 13:00:00,14.982222222222223,28.499391534391535
16,42,7.0,33.952777777777776,23.96611111111111,2023-06-23 12:45:00,2023-06-23 19:30:00,9.986666666666665,27.99950396825397
16,45,2.75,41.45777777777778,30.457222222222217,2023-06-26 08:45:00,2023-06-26 11:15:00,11.000555555555561,35.5429797979798
16,47,2.5,35.32777777777778,31.16611111111111,2023-06-27 08:15:00,2023-06-27 10:30:00,4.161666666666672,32.07833333333334
16,108,6.75,32.6,27.862222222222226,2023-07-28 13:15:00,2023-07-28 19:45:00,4.737777777777776,30.954567901234554
17,44,2.5,36.62,31.77777777777778,2023-06-27 08:30:00,2023-06-27 10:45:00,4.842222222222219,33.43455555555556
19,34,2.25,33.952777777777776,27.862222222222226,2023-06-24 08:30:00,2023-06-24 10:30:00,6.09055555555555,27.81851851851852
23,12,1.5,32.39388888888888,27.567222222222217,2023-06-24 08:30:00,2023-06-24 09:45:00,4.826666666666664,28.192592592592593
28,6,8.5,37.055,31.063888888888894,2023-07-09 08:45:00,2023-07-09 17:00:00,5.991111111111106,34.02236928104575
32,28,5.25,39.615,22.046111111111117,2023-06-22 08:45:00,2023-06-22 13:45:00,17.568888888888885,30.886190476190475
32,30,6.75,33.013888888888886,28.15888888888889,2023-06-24 09:45:00,2023-06-24 16:15:00,4.854999999999997,30.496028806584384
32,33,3.75,40.645,32.08611111111111,2023-06-27 08:15:00,2023-06-27 11:45:00,8.558888888888895,35.38718518518519
33,26,4.25,44.70388888888888,22.237777777777783,2023-06-22 08:00:00,2023-06-22 12:00:00,22.4661111111111,30.901830065359476
33,28,6.5,56.36222222222222,20.423888888888893,2023-06-24 08:00:00,2023-06-24 14:15:00,35.93833333333333,39.650363247863254
33,29,4.5,36.51111111111111,31.47222222222222,2023-06-25 08:00:00,2023-06-25 12:15:00,5.038888888888891,34.442037037037046
35,15,2.0,33.22222222222222,28.952777777777776,2023-06-24 08:15:00,2023-06-24 10:00:00,4.269444444444446,29.052569444444444
36,52,5.75,44.95222222222222,22.046111111111117,2023-06-22 08:30:00,2023-06-22 14:00:00,22.9061111111111,32.671739130434766
36,57,1.0,43.60111111111111,34.585,2023-06-23 19:45:00,2023-06-23 20:30:00,9.016111111111108,34.374166666666675
36,58,7.0,43.60111111111111,23.1,2023-06-24 08:45:00,2023-06-24 15:30:00,20.501111111111108,35.72930555555555
36,60,5.5,40.3,32.187777777777775,2023-06-25 08:45:00,2023-06-25 14:00:00,8.112222222222222,33.02674242424243
43,17,1.0,31.98277777777778,27.862222222222226,2023-06-24 08:45:00,2023-06-24 08:45:00,4.120555555555555,27.862222222222222
45,38,4.0,38.82611111111111,22.14222222222222,2023-06-22 08:00:00,2023-06-22 11:45:00,16.68388888888889,27.375347222222217
45,41,7.0,34.16277777777778,27.862222222222226,2023-06-24 08:15:00,2023-06-24 15:00:00,6.300555555555551,31.326230158730166
45,47,8.25,59.13277777777777,31.573888888888884,2023-06-27 08:45:00,2023-06-27 16:45:00,27.558888888888884,41.03535353535353
45,54,12.0,34.585,28.655,2023-07-03 08:45:00,2023-07-03 20:30:00,5.93,30.813124999999996
45,72,12.0,37.71388888888889,29.852777777777774,2023-07-19 08:45:00,2023-07-19 20:30:00,7.861111111111114,32.204965277777774
45,73,12.0,37.71388888888889,32.49722222222223,2023-07-20 08:45:00,2023-07-20 20:30:00,5.2166666666666615,33.976574074074065
45,74,12.0,37.71388888888889,33.3261111111111,2023-07-21 08:45:00,2023-07-21 20:30:00,4.387777777777785,34.478541666666665
46,22,3.25,37.935,29.852777777777774,2023-06-26 08:15:00,2023-06-26 11:15:00,8.082222222222228,33.012307692307694
48,55,2.5,38.49,31.98277777777778,2023-06-22 11:00:00,2023-06-22 13:15:00,6.507222222222222,35.466722222222224
48,58,3.25,37.055,23.772777777777776,2023-06-23 15:00:00,2023-06-23 18:00:00,13.282222222222224,30.535641025641024
54,19,1.0,31.47222222222222,26.195,2023-06-22 10:30:00,2023-06-22 11:15:00,5.277222222222221,28.894999999999996
62,34,1.0,35.54222222222222,27.075000000000003,2023-06-24 09:15:00,2023-06-24 10:00:00,8.467222222222219,31.701805555555566
68,10,1.0,32.91111111111111,28.456111111111117,2023-06-24 08:30:00,2023-06-24 08:45:00,4.454999999999995,28.505555555555556
75,21,1.5,31.880000000000003,19.567222222222224,2023-06-24 08:15:00,2023-06-24 09:30:00,12.312777777777779,25.45777777777778
81,30,1.0,35.22222222222222,28.456111111111117,2023-06-22 10:30:00,2023-06-22 11:15:00,6.766111111111105,31.965833333333332
81,32,2.75,34.16277777777778,27.76388888888889,2023-06-24 08:15:00,2023-06-24 10:45:00,6.398888888888887,27.414949494949497
82,45,3.0,32.70388888888889,23.677222222222223,2023-06-23 15:00:00,2023-06-23 17:45:00,9.026666666666667,28.30532407407408
83,17,3.25,33.952777777777776,29.75222222222222,2023-06-24 08:15:00,2023-06-24 11:15:00,4.200555555555557,29.830299145299144
85,62,5.0,37.82388888888889,26.87888888888889,2023-06-24 08:30:00,2023-06-24 13:15:00,10.944999999999997,35.046611111111105
