customer_id,external_temperature,temp_increase_rate,internal_temperature,internal_temperature_end,max_temperature,start_time,end_time,bill,RATE
45,36.80555555555556,0.3999999999999962,29.352222222222224,29.65222222222222,29.65222222222222,2023-09-19 15:15:00,2023-09-19 15:45:00,0.208800003,23
45,36.25,0.400555555555556,29.452222222222222,29.852777777777778,30.153888888888886,2023-09-19 16:30:00,2023-09-19 17:15:00,0.160799995,23
45,36.944444444444436,0.39611111111111796,28.059999999999995,28.456111111111113,29.15222222222222,2023-09-20 16:00:00,2023-09-20 16:45:00,0.148800001,23
45,35.833333333333336,0.19888888888889156,28.555,28.75388888888889,29.15222222222222,2023-09-20 17:00:00,2023-09-20 17:45:00,0.110399999,23
45,36.111111111111114,0.3966666666666647,28.357222222222227,28.75388888888889,29.15222222222222,2023-09-21 14:45:00,2023-09-21 15:30:00,0.105599999,23
45,36.06481481481482,0.2994444444444433,28.852777777777778,29.15222222222222,29.15222222222222,2023-09-21 15:45:00,2023-09-21 16:30:00,0.105599999,23
45,34.861111111111114,0.19777777777778027,28.654999999999998,28.852777777777778,29.75222222222222,2023-09-23 14:00:00,2023-09-23 14:45:00,0.403200001,23
45,34.44444444444444,0.19944444444444542,28.952777777777776,29.15222222222222,29.75222222222222,2023-09-23 15:00:00,2023-09-23 15:45:00,0.40079999,23
45,34.44444444444444,0.20000000000000284,29.25222222222222,29.452222222222222,29.75222222222222,2023-09-23 16:00:00,2023-09-23 16:45:00,0.26879999,23
45,34.166666666666664,0.09999999999999432,29.552222222222227,29.65222222222222,29.75222222222222,2023-09-23 17:00:00,2023-09-23 17:45:00,0.163200006,23
45,37.361111111111114,0.39944444444444116,28.852777777777778,29.25222222222222,29.25222222222222,2023-09-24 14:30:00,2023-09-24 15:15:00,0.143999994,23
45,38.333333333333336,0.2994444444444433,28.952777777777776,29.25222222222222,31.063888888888894,2023-09-25 14:30:00,2023-09-25 15:15:00,0.160799995,23
45,38.75,0.29999999999999716,29.352222222222224,29.65222222222222,31.063888888888894,2023-09-25 15:30:00,2023-09-25 16:15:00,0.153600007,23
45,38.05555555555555,0.30166666666666586,29.75222222222222,30.053888888888885,31.063888888888894,2023-09-25 16:30:00,2023-09-25 17:15:00,0.143999994,23
45,39.44444444444444,0.3005555555555617,29.65222222222222,29.952777777777783,31.063888888888894,2023-09-26 14:30:00,2023-09-26 15:15:00,0.086400002,23
45,39.02777777777778,0.3022222222222304,30.053888888888885,30.356111111111115,31.063888888888894,2023-09-26 15:30:00,2023-09-26 16:15:00,0.086400002,23
45,38.47222222222223,0.10055555555556595,30.457222222222217,30.557777777777783,31.063888888888894,2023-09-26 16:30:00,2023-09-26 17:15:00,0.086400002,23
45,39.72222222222222,0.2005555555555638,29.75222222222222,29.952777777777783,31.063888888888894,2023-09-27 14:30:00,2023-09-27 15:15:00,0.083999999,23
45,39.44444444444444,0.3022222222222304,30.053888888888885,30.356111111111115,31.063888888888894,2023-09-27 15:30:00,2023-09-27 16:15:00,0.083999999,23
